2026-03-17T23:56:02Z	keep	Added keep/revert/crash status badges to activity feed rows for at-a-glance status
2026-03-17T23:58:58Z	keep	Grid changed to auto-fit (single card fills full width); activity rows get colored left-border per instance
2026-03-18T00:00:11Z	keep	Add sparkline row of 10 colored squares (green/red/yellow) below keep-rate bar showing last 10 iterations per instance
2026-03-17T23:58:39Z	skip	Done. The sparkline row (10 small green squares) now appears below the keep-rate progress bar on each instance card, giv
2026-03-18T00:02:35Z	keep	Fix sparkline direction: oldest dot now on left, newest on right (standard time-series convention)
2026-03-18T00:04:21Z	keep	Add colored left-border per instance to activity feed rows — orange for nba, matching instance card accent colors
2026-03-18T00:09:58Z	keep	Fix activity feed description truncation: add min-width:0 to .act-desc flex item so text-overflow:ellipsis actually fires
2026-03-18T00:13:17Z	keep	Add title tooltips to truncated text — hovering over act-desc in activity feed and last-keep in cards now shows full description text
2026-03-18T00:18:03Z	keep	Add streak counter to sparkline row — shows consecutive keeps (e.g. '10+') in green to the right of the sparkline dots
2026-03-18T00:19:54Z	keep	Add live 15s tick to refresh relative timestamps (e.g. '2m ago') without network call — times stay accurate between 30s data refreshes
2026-03-18T00:21:19Z	keep	Add 'flawless' badge to instance cards with 0 reverts and 0 crashes — indigo pill appears in card header
2026-03-18T00:24:16Z	keep	Dim zero-value reverts and crashes to muted gray — only show red/amber when actually non-zero
2026-03-18T00:28:32Z	keep	Add global keep rate to header — shows 'N keeps · X%' for at-a-glance overall success rate
2026-03-18T00:31:13Z	keep	Replace ~N/hr run-rate with ~Nm/iter avg iteration time — shows loop speed more intuitively
2026-03-18T00:34:03Z	keep	Allow last-keep text to wrap to 2 lines in card — shows more context about the last improvement instead of hard-truncating after one line
2026-03-18T00:36:08Z	keep	Add total iterations badge to card header — shows 'N iters' pill next to instance name for at-a-glance run count
2026-03-18T00:38:57Z	keep	Add 'next ~Xm' estimated next-run time alongside avg iter rate — shows users when to expect the next iteration based on avg interval + last activity time
2026-03-18T00:41:39Z	keep	Click-to-expand activity feed rows — clicking a row toggles full description visible on a second line (truncated descriptions are now fully readable)
2026-03-18T00:43:51Z	keep	Group FLAWLESS and RUNNING pills together on the right side of card header — fixes layout where flawless badge floated in center with justify-content:space-between
2026-03-18T00:46:00Z	keep	Show accurate streak count for flawless instances — instead of '10+' (windowed), show the true streak equal to total keeps when reverts=0 and crashes=0
2026-03-18T00:48:29Z	keep	Add milestone progress bar to card — thin orange bar + '14 to 75' label below sparkline shows keeps toward next round milestone
2026-03-18T00:52:52Z	keep	Pulse 'next ~now' in orange when iteration is overdue — bold orange text with pulse animation draws attention when a new run is imminent
2026-03-18T00:54:51Z	keep	Add relative timestamp to sparkline dot tooltips — hovering dots now shows '10m ago · keep: description' for fuller context
2026-03-18T00:57:09Z	keep	Click-to-expand last-keep description in cards — clicking the last-keep area toggles 2-line clamp off, consistent with activity row expansion pattern
2026-03-18T00:58:21Z	keep	Fix milestone bar color — use instance accent color dynamically instead of hardcoded --nba for all instances
2026-03-18T01:00:04Z	keep	Add refresh progress bar — thin 2px bar at top drains over 29.5s to show time until next 30s auto-refresh
2026-03-18T01:03:54Z	keep	Add 'showing 10 of N total iterations' footer to activity feed — clarifies that only the most recent iterations are shown
2026-03-18T01:06:39Z	keep	Make next-run time live: 15s ticker now updates 'next ~Xm' spans; also fixes hardcoded --nba color to use instance accent color dynamically
2026-03-18T01:09:16Z	keep	Add last-active time badge to card header — shows 'Xm ago' pill next to iter count so recency of last keep is visible at a glance without scrolling
2026-03-21T23:20:42Z	keep	Add skip status styling — .act-status.skip (slate badge) and .spark-dot.skip (gray dot) for skip entries in activity feed and sparklines
